date,dataset,metric,value
2023-10-31 00:00:00.000,ledger_na,count,872719
2023-11-03 00:00:00.000,ledger_na,count,233979
2023-10-13 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,54080851
2023-10-22 00:00:00.000,ledger_na,count,325827087
2023-09-21 00:00:00.000,ledger_na,count,81179791
2023-10-25 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_coverage_rate,0.43
2023-10-26 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,30209540
2023-10-22 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_coverage_rate,0.43
2023-11-04 00:00:00.000,ledger_na,count,99807
2023-10-15 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,25186517
2023-10-23 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,48935675
2023-11-08 00:00:00.000,O_DUSCIS_FINAL,count,53964226
2023-09-24 00:00:00.000,ledger_na,count,80583283
2023-10-23 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_found,15243547.2099988
2023-10-16 00:00:00.000,O_DUSCIS_FINAL,count,61612589
2023-10-30 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,46669327
2023-10-18 00:00:00.000,O_DUSCIS_FINAL,count,56122006
2023-11-12 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,43392370
2023-10-20 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,30276345
2023-10-19 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,44881871
2023-10-10 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,60689968
2023-10-01 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,38916357
2023-10-07 00:00:00.000,O_DUSCIS_FINAL,count,43695964
2023-10-14 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,42637470
2023-10-26 00:00:00.000,O_DUSCIS_FINAL,count,51488436
2023-10-27 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,num_items,30606550
2023-10-10 00:00:00.000,O_DUSCIS_FINAL,count,68545461
2023-10-20 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_coverage_rate,0.59
2023-10-14 00:00:00.000,ledger_na,count,286894490
2023-10-15 00:00:00.000,O_DUSCIS_FINAL,count,56705672
2023-10-28 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,33663189
2023-09-18 00:00:00.000,ledger_na,count,87232116
2023-10-17 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,49998648
2023-10-16 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,52527643
2023-10-21 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_found,15159326.480000185
2023-09-26 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,27928362
2023-10-26 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_found,12225319.249999756
2023-10-22 00:00:00.000,O_DUSCIS_FINAL,count,52646425
2023-10-04 00:00:00.000,ledger_na,count,87315687
2023-10-29 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_found,10422916.28
2023-10-17 00:00:00.000,O_DUSCIS_FINAL,count,57525871
2023-10-27 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,40431690
2023-11-02 00:00:00.000,O_DUSCIS_FINAL,count,50387672
2023-10-25 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_found,16333526.789999364
2023-09-28 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,41617229
2023-10-28 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_found,9030048.87000016
2023-09-29 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,27392768
2023-09-28 00:00:00.000,ledger_na,count,82121665
2023-09-29 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,38432854
2023-10-22 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_found,11604096.490000084
2023-11-11 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,58101808
2023-10-28 00:00:00.000,O_DUSCIS_FINAL,count,43459108
2023-10-12 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,36688847
2023-10-21 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_coverage_rate,0.59
2023-11-01 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,27155424
2023-10-26 00:00:00.000,ledger_na,count,90295590
2023-10-29 00:00:00.000,ledger_na,count,74253948
2023-10-15 00:00:00.000,ledger_na,count,286798287
2023-10-22 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,num_items,32371281
2023-11-03 00:00:00.000,O_DUSCIS_FINAL,count,47931801
2023-09-27 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,43846253
2023-10-03 00:00:00.000,ledger_na,count,87703086
2023-09-30 00:00:00.000,ledger_na,count,77593142
2023-10-09 00:00:00.000,O_DUSCIS_FINAL,count,57471799
2023-10-22 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,40208954
2023-10-06 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,39382118
2023-10-20 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,40614722
2023-10-01 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,20217643
2023-10-27 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_found,10934732.650000045
2023-10-05 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,43011036
2023-09-26 00:00:00.000,O_DUSCIS_FINAL,count,52770509
2023-10-09 00:00:00.000,ledger_na,count,86328462
2023-10-08 00:00:00.000,ledger_na,count,82163229
2023-10-02 00:00:00.000,ledger_na,count,88561852
2023-11-06 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,50939762
2023-10-29 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_coverage_rate,0.38
2023-10-30 00:00:00.000,O_DUSCIS_FINAL,count,56090092
